Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
92,17.197279mm,2.9183673mm,4.7047619mm,12.308163mm,1.9591837mm,4.3095238mm,4.8979592mm,10.612245mm,1.462585mm,-6.0207176,-7.7330169,3.1265568,177.44571
93,12.408163mm,2.8122449mm,7.4639456mm,18.739456mm,2.5306122mm,3.7380952mm,4.7891156mm,27.346939mm,1.0612245mm,-15.722941,-3.5786301,0.33173192,224.06838
94,14.802721mm,2.0163265mm,6.2965986mm,20.180952mm,2.4081633mm,4.1190476mm,11.265306mm,21.088435mm,0.55102041mm,-13.451623,-8.4136575,-2.0585229,107.20698
95,13.496599mm,4.8816327mm,7.0748299mm,15.412925mm,2.8707483mm,4.0238095mm,8.0544218mm,29.387755mm,0.65306122mm,-10.818599,-5.0347542,-8.7185901,40.877373
96,21.006803mm,2.2020408mm,3.5727891mm,14.747619mm,1.3741497mm,2.7857143mm,5.4965986mm,12.789116mm,1.0680272mm,-5.4779368,0.61269683,-7.0983071,121.04916
97,15.020408mm,2.3346939mm,7.6054422mm,14.52585mm,1.0884354mm,4.8333333mm,7.292517mm,19.183673mm,1.0068027mm,-11.231795,-6.8985024,-3.3019499,72.39125
98,17.632653mm,2.0959184mm,3.9972789mm,14.193197mm,2.1904762mm,4.5714286mm,10.231293mm,11.836735mm,1.2993197mm,-2.5133534,-5.3439547,0.44005366,130.67348
99,16.544218mm,2.5734694mm,6.3319728mm,8.3163265mm,2.4217687mm,3.1904762mm,6.0952381mm,29.659864mm,1.0408163mm,-10.991676,-11.464966,12.595083,526.47124
100,22.857143mm,3.077551mm,4.3863946mm,16.521769mm,1.0204082mm,3.4761905mm,5.9319728mm,27.755102mm,0.73469388mm,-19.737335,12.009287,4.6902657,862.45231
101,20.897959mm,2.2285714mm,3.6789116mm,14.414966mm,2.1088435mm,4.7380952mm,11.047619mm,22.857143mm,0.83673469mm,-5.7449438,13.200191,-3.5856211,579.39314
102,18.503401mm,5.1469388mm,6.7564626mm,16.410884mm,1.0068027mm,4.952381mm,7.0748299mm,20.136054mm,0.70068027mm,4.3776146,-2.8950169,3.478195,232.14253
103,19.047619mm,4.7489796mm,6.155102mm,23.618367mm,2.9251701mm,3.8333333mm,5.2244898mm,25.578231mm,0.84353741mm,-12.457635,-11.009965,-2.2381625,90.0319
104,22.748299mm,4.2183673mm,6.862585mm,20.62449mm,1.414966mm,2.7380952mm,5.4421769mm,16.462585mm,0.75510204mm,-13.828711,-7.4653548,-1.1252199,131.81745
105,10.77551mm,4.377551mm,7.570068mm,13.638776mm,2.6394558mm,1.8809524mm,6.1496599mm,21.496599mm,1.122449mm,-10.893139,-11.218493,-10.210312,15.156534
106,20.789116mm,4.244898mm,4.9877551mm,15.634694mm,2.6530612mm,2.5mm,11.591837mm,26.666667mm,0.57823129mm,-27.363541,1.3321297,-10.687127,543.09095
